Approach,Config / Details,Overall Acc,High Recall,High Precision,High F1-Score,Macro F1
Baseline (Argmax),Balanced Class Weights,0.7687,0.5398,0.8305,0.6543,0.7394
Approach 1 (Class Weights),High weight: 1.5x,0.7675,0.7136,0.7055,0.7096,0.7542
Approach 1 (Class Weights),High weight: 2.0x,0.7623,0.7611,0.6643,0.7094,0.7508
Approach 1 (Class Weights),High weight: 2.5x,0.7576,0.7902,0.6334,0.7032,0.7461
Approach 1 (Class Weights),High weight: 3.0x,0.7537,0.8041,0.6129,0.6956,0.7416
Approach 2 (Custom Threshold),P(High) >= 0.45,0.7695,0.5983,0.7874,0.68,0.7472
Approach 2 (Custom Threshold),P(High) >= 0.4,0.77,0.6556,0.7533,0.701,0.7534
Approach 2 (Custom Threshold),P(High) >= 0.35,0.7668,0.7099,0.7046,0.7072,0.7531
Approach 2 (Custom Threshold),P(High) >= 0.3,0.7637,0.7488,0.6729,0.7088,0.7516
Approach 2 (Custom Threshold),P(High) >= 0.25,0.7592,0.7831,0.641,0.705,0.7476
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 1.5x, P(High)>=0.35",0.7565,0.7931,0.6263,0.6999,0.7446
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 1.5x, P(High)>=0.3",0.7521,0.8143,0.6041,0.6936,0.7401
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 2.0x, P(High)>=0.35",0.7507,0.8224,0.5974,0.6921,0.7388
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 2.0x, P(High)>=0.3",0.7441,0.842,0.5707,0.6803,0.7314
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 2.5x, P(High)>=0.35",0.7445,0.8389,0.5727,0.6807,0.7318
Approach 3 (Two-Stage Hierarchical),"Stage1 Weight: 2.5x, P(High)>=0.3",0.7341,0.8679,0.5364,0.663,0.7204
